abstraction	абстракция
abstractions	абстракции
abstracts	рефераты
accepted	принятый
access	доступ
achieve	достигать
achieved	достигнутый
acquiring	приобретение
action	действие
actions	действия
addition	дополнение
address	адрес
advantage	преимущество
advice	совет
against	против
agement	равления
allows	позволяет
almost	почти
although	хотя
angles	углы
animated	анимационный
annotated	аннотированный
annotation	аннотация
annotations	аннотации
another	другой
apache	апаш
applets	апплеты
application	применение
applications	приложений
applying	применение
approach	подход
approaching	приближается
appropriate	соответствующий
aspect	аспект
aspects	аспекты
associating	связывая
assumes	предполагает
asynchronous	асинхронный
attack	атака
attempt	попытка
attribute	атрибут
authentication	идентификация
authority	власть
authorization	разрешение
automatically	автоматически
available	доступный
avoids	избегает
became	стал
because	потому
become	становиться
behavior	поведение
belief	вера
benefit	выгода
between	между
bility	ность
binary	двоичный
binding	обязательный
boiler	котел
boilerplate	шаблонный
brought	принес
browsers	браузеры
building	здание
builds	строит
bypassed	обошел
called	называемый
caller	гость
calling	призвание
capable	способный
cartoon	карикатура
categories	категории
cation	катион
central	центральный
centralize	централизовать
change	изменение
character	характер
characters	символы
choices	выбор
choose	выбирать
chosen	выбранный
claims	требования
classes	классы
cleaner	очиститель
client	клиент
closes	закрывается
cluding	числе
coding	кодирование
coming	приход
common	общий
commonly	обычно
community	сообщество
comparable	сравнимый
compilation	сборник
compile	компилировать
complete	полный
complex	комплекс
complexity	сложность
compli	следующ
compliant	уступчивый
complicate	усложнять
complicated	сложный
complying	соблюдение
component	компонент
components	компоненты
composed	состоит
comprehen	всесторонни
computing	вычисления
concerned	обеспокоенный
concerns	проблемы
condition	состояние
configuration	конфигурация
configure	конфигурировать
configured	сконфигурирован
configuring	настройке
connect	подключать
connection	подключение
consist	состоять
consistent	последовательный
constituent	составной
constructors	конструкторы
consumer	потребитель
consumption	потребление
contain	содержать
container	контейнер
context	контекст
continue	продолжать
contrary	вопреки
control	контроль
controlled	контролируемый
controller	контроллер
controllers	контроллеры
conven	Конвен
convenient	удобный
convert	конвертировать
coupled	соединенный
coupling	связь
create	создать
created	созданный
creates	создает
creating	создания
criticize	критиковать
critics	критики
customize	настроить
cutting	резка
database	база
december	декабрь
decided	решил
decision	решение
declaration	декларация
declarative	декларативный
declared	объявленный
deficiencies	недостатки
defined	определенный
defines	определяет
defining	определяющий
definition	определение
definitions	определения
delegating	делегирование
delete	удалять
depend	зависеть
dependencies	зависимости
dependency	зависимость
dependent	зависимый
deployment	развертывание
describe	описывать
described	описано
design	дизайн
designed	предназначенный
despite	несмотря
detecting	обнаружения
develop	развивать
developers	разработчиков
developing	развивающийся
development	развитие
development?	развитие
different	другой
directly	непосредственно
directs	направляет
disenchanted	Разочарованная
distributed	распределенный
dynamic	динамический
easier	полегче
easily	легко
ecosystem	экосистема
effectively	фактически
elements	элементы
emphasizing	выделение
employing	используя
employs	работает
enabled	включен
enables	позволяет
enriched	обогащенный
ensures	Обеспечивает
entered	вошли
enterprise	предприятие
environ	среда
established	установленный
evolved	эволюционировали
example	пример
except	кроме
exception	исключение
exceptions	исключения
exciting	захватывающий
execute	выполнять
execution	выполнение
expected	ожидаемый
expert	эксперт
explanation	объяснение
extend	продлить
extended	расширенный
extending	простирающийся
extension	расширение
external	внешний
facilitate	способствовать
factory	завод
failure	отказ
fairness	справедливость
feature	особенность
features	особенности
figure	фигура
figured	фигурный
filters	фильтры
flexible	гибкий
flocked	стекались
focused	сосредоточены
following	после
foundational	основополагающим
framework	рамки
frameworks	рамки
functionality	функциональность
functions	функции
fundamental	основной
furnish	отделка
further	дальше
general	генеральный
giving	дающий
glimpse	проблеск
gramming	мирования
greater	большой
greatly	значительно
handful	горсть
handle	обрабатывать
handled	обрабатываются
handler	обработчик
handling	обработка
happens	происходит
hibernate	зимовать
hierarchy	иерархия
however	однако
hundreds	сотни
illustrated	иллюстрированный
imagine	вообразить
implement	осуществлять
implementation	реализация
implementations	реализации
implemented	реализован
important	важно
inbound	входящий
includes	включает
incoming	входящий
indication	индикация
information	информация
initialization	инициализация
injected	введенный
injection	впрыск
inside	внутри
insight	понимание
instead	вместо
insufficient	недостаточное
intact	неповрежденный
integrates	интегрирует
integration	интеграция
intended	предназначена
interception	перехват
interface	интерфейс
interfaces	интерфейсы
internal	внутренний
internally	внутренне
intrusive	навязчивый
