abstraction	абстракция
access	доступ
achieve	достигать
acquiring	приобретение
action	действие
addition	дополнение
address	адрес
advantage	преимущество
advice	совет
against	против
angle	угл
annotation	аннотация
applet	апплет
application	приложение
approach	подход
appropriate	соответствующий
aspect	аспект
assume	предполагать
asynchronous	асинхронный
attempt	попытка
attribute	атрибут
authentication	идентификация
authorization	авторизация
automatically	автоматически
available	доступный
benefit	выгода
binary	двоичный
boilerplate	шаблонный
browser	браузер
call	вызвать
capable	способный
cartoon	карикатура
category	категория
central	центральный
centralize	централизовать
change	изменение
character	символ
choice	выбор
choose	выбирать
claims	требования
classes	классы
client	клиент
close	закрываеть
coding	кодирование
common	общий
community	сообщество
comparable	сравнимый
compilation	сборка
compile	компилировать
complete	полный
complex	комплекс
complexity	сложность
compliant	уступчивый
complicate	усложнять
complicated	сложный
complying	соблюдение
component	компонент
composed	состоит
computing	вычисления
concerned	обеспокоенный
condition	состояние
configuration	конфигурация
configure	конфигурировать
configured	сконфигурирован
connect	подключать
connection	подключение
consist	состоять
consistent	последовательный
constituent	составной
constructors	конструкторы
consumer	потребитель
consumption	потребление
contain	содержать
container	контейнер
context	контекст
continue	продолжать
control	контроль
controller	контроллер
convert	конвертировать
coupled	соединенный
coupling	связь
create	создать
criticize	критиковать
customize	настроить
database	база данных
decision	решение
declaration	декларация
declarative	декларативный
declared	объявленный
defined	определенный
definition	определение
delegating	делегирование
delete	удалять
depend	зависеть
dependency	зависимость
dependent	зависимый
deployment	развертывание
describe	описывать
design	дизайн
detecting	обнаружения
develop	развивать
different	другой
directly	непосредственно
direct	направлять
distributed	распределенный
dynamic	динамический
easily	легко
ecosystem	экосистема
element	элемент
emphasizing	выделение
enabled	включен
enriched	обогащенный
ensures	обеспечивает
enter	войти
enterprise	предприятие
environment	среда
established	установленный
evolved	эволюционировали
example	пример
except	кроме
exception	исключение
exciting	захватывающий
execute	выполнять
execution	выполнение
expected	ожидаемый
expert	эксперт
explanation	объяснение
extend	продлить
extension	расширение
external	внешний
facilitate	способствовать
factory	фабрика
failure	отказ
fairness	справедливость
feature	сущность,особенность
figure	фигура
filter	фильтр
flexible	гибкий
focus	сфокусироваться
framework	структура программной системы
functionality	функциональность
function	функция
fundamental	основной
glimpse	проблеск
handle	обрабатывать
handler	обработчик
handling	обработка
hibernate	библиотека для языка программирования
hierarchy	иерархия
implementation	реализация
inbound	входящий
indication	индикация
information	информация
initialization	инициализация
injected	внедренный, введенный
injection	внедрение
inside	внутри
insight	понимание
instead	вместо
integration	интеграция
intend	предназначать
interception	перехват
interface	интерфейс
internal	внутренний
intrusive	навязчивый
invasive	агрессивный
inversion	инверсия
invocation	вызов
invoke	вызывать
jakarta	один из проектов Apache Software Foundation
juggling	оперирование, жонглирование
language	язык
layer	слой
library	библиотека
lifecycle	жизненный цикл
lightweight	легкий
limit	ограничение
loading	загрузка
locale	место
logical	логический
maintain	поддерживать
manage	управлять
management	управление
mapping	отображение
meaningful	смысл
mechanism	механизм
message	сообщение
method	метод
microsystems	микросистемы
minimally	минимально
mission	миссия
mistake	ошибка
model	модель
modern	современный
module	модуль
motivation	мотивация
namespace	пространство имен
normally	обычно
notation	обозначение
notion	понятие
object	объект
obtain	получать
offering	предложение
optional	необязательный
original	оригинал
originally	первоначально
overall	общий
paradigm	парадигма
partially	частично
participation	участие
particular	особый
passed	прошло
passes	проходит
pattern	шаблон
perform	выполнять
persistence	неизменяемый, постоянный
phase	фаза
picking	сбор
picture	изображение, картина
platform	платформа
plexity	сложность
point	пункт, точка
portlet	портлет
powerful	мощный
prefer	предпочитать
presentation	презентация
previously	предварительно
primary	основной
principal	принципиальный, главный
problem	проблема
procedure	процедура
processes	процессы
program	программа
programming	программирование
project	проект
promote	содействовать
proper	правильный
properties	свойства
provide	предоставить
providing	обеспечение
public method	общедоступный метод
purpose	цель
reaction	реакция
reasonable	разумный
redirect	перенаправление
reduction	сокращение
reflection	отражение
related	связанный
relational	реляционный
release	релиз
releasing	выпускать
remain	оставаться
reminiscent	напоминающий
remote	удаленный
remove	удалять
request	запрос
require	требовать
resemblance	сходство
reserved	зарезервированный
resolving	решения
resource	ресурс
response	ответ
responsibilities	обязанности
responsibility	ответственность
responsible	ответственный
restrict	ограничивать
result	результат
reusable	многоразовый
runtime	во время запуска
saving	экономия
scheduling	планирование
secure	обеспечивать, обезопасить
security	безопасность
select	выбор
separate	отдельный
server	сервер
service	служба
servlet	сервлет
shortage	нехватка
significantly	существенно
simple	простой
simplifying	упрощение
software	программное(обеспечение)
solution	решение
source	источник
special	специальный
specification	спецификация
spring	фреймворк(библиотека)
standard	стандарт
statement	заявление
state	состояние
strategy	стратегия
string	строка
struts	фреймворк(библиотека)
subject	тема
submit	передать
successful	успешный
superficial	поверхностный
support	поддержка
switche	переключатель
template	шаблон
testing	тестирование
thinking	мышление
traced	проследить
transaction	транзакция, сделка
transfer	перевод
translation	перевод
transparent	прозрачный
introduce	вводить
understand	понять
unwieldy	громоздкий
unwrapping	разворачивая
upload	загрузка
usefulness	полезность
variable	переменная
variation	изменение
variety	разнообразие
various	различный
vendors	поставщики
version	версия
virtually	фактически
widget	виджет
working	работа
wrappers	обертки
